Car_Name,Brand,Model,Variant,Year,Age_Years,Km_Driven,Fuel_Type,Transmission,Owner,Seller_Type,Mileage_kmpl,Engine_CC,Max_Power_BHP,Torque_Nm,Seats,Original_Price_L,Selling_Price_L
Toyota Innova Crysta VX 2021,Toyota,Innova Crysta,VX,2021,3,27736,Diesel,Automatic,First Owner,Individual,24.3,2393,174.2,334,7,24.64,18.86
Kia Sonet HTK+ 2013,Kia,Sonet,HTK+,2013,11,119919,Diesel,Manual,First Owner,Individual,23.7,1493,107.5,239,5,11.49,4.23
Honda City ZX 2019,Honda,City,ZX,2019,5,70789,Petrol,Automatic,First Owner,Dealer,16.9,1498,106.1,244,5,15.49,10.07
Jeep Meridian Limited 2013,Jeep,Meridian,Limited,2013,11,119378,Diesel,Automatic,Second Owner,Trustmark Dealer,20.9,1956,118.3,280,7,29.9,12.37
Maruti Ertiga ZXI+ 2019,Maruti,Ertiga,ZXI+,2019,5,59874,Petrol,Automatic,First Owner,Trustmark Dealer,15.1,1462,92.9,175,7,10.99,7.05
MG Hector Plus Sharp 2022,MG,Hector Plus,Sharp,2022,2,23605,Diesel,Manual,Second Owner,Dealer,22.8,1956,119.4,223,6,20.99,15.92
Tata Tiago XE 2023,Tata,Tiago,XE,2023,1,7803,Petrol,Manual,First Owner,Trustmark Dealer,20.9,1199,78.1,196,5,5.4,4.87
Volkswagen Polo Trendline 2016,Volkswagen,Polo,Trendline,2016,8,94220,Petrol,Manual,First Owner,Individual,19.3,999,55.1,106,5,7.54,3.53
Mahindra XUV700 AX5 2015,Mahindra,XUV700,AX5,2015,9,73508,Diesel,Automatic,Second Owner,Individual,20.9,2184,160.9,373,7,20.99,9.58
Maruti Baleno Alpha 2013,Maruti,Baleno,Alpha,2013,11,144563,Petrol,Automatic,Second Owner,Individual,18.7,1197,95.1,208,5,9.45,3.03
Hyundai i20 Asta 2014,Hyundai,i20,Asta,2014,10,139821,Petrol,Automatic,Second Owner,Trustmark Dealer,15.8,1197,80.8,182,5,9.64,3.41
Maruti Baleno Alpha 2017,Maruti,Baleno,Alpha,2017,7,83739,Petrol,Automatic,Fourth & Above Owner,Individual,18.4,1197,83.0,214,5,9.45,3.36
Toyota Glanza V 2019,Toyota,Glanza,V,2019,5,50111,Petrol,Automatic,First Owner,Individual,20.8,1197,93.7,173,5,8.99,5.38
Tata Harrier Smart 2018,Tata,Harrier,Smart,2018,6,44913,Diesel,Manual,First Owner,Individual,25.6,1956,114.3,270,5,15.49,9.44
Tata Altroz XZ 2019,Tata,Altroz,XZ,2019,5,34586,Petrol,Manual,Second Owner,Individual,14.0,1199,84.8,165,5,8.4,4.49
Jeep Compass Sport 2015,Jeep,Compass,Sport,2015,9,70065,Petrol,Manual,First Owner,Dealer,14.3,1368,91.2,203,5,19.95,10.17
Kia Sonet HTE 2022,Kia,Sonet,HTE,2022,2,21818,Petrol,Manual,First Owner,Dealer,20.2,1197,72.3,166,5,7.99,6.34
Mercedes E-Class Progressive 2016,Mercedes,E-Class,Progressive,2016,8,119796,Petrol,Automatic,First Owner,Individual,21.8,1991,145.1,265,5,77.5,40.56
Maruti Ertiga ZXI 2022,Maruti,Ertiga,ZXI,2022,2,21463,Petrol,Manual,First Owner,Individual,16.0,1462,100.5,238,7,9.69,7.65
Maruti Alto K10 STD 2019,Maruti,Alto K10,STD,2019,5,49002,Petrol,Manual,Second Owner,Individual,18.5,796,46.9,88,5,3.99,2.17
MG Hector Smart 2017,MG,Hector,Smart,2017,7,70880,Petrol,Manual,Fourth & Above Owner,Individual,14.1,1451,107.5,262,5,14.72,5.41
MG Hector Plus Sharp 2017,MG,Hector Plus,Sharp,2017,7,102706,Diesel,Manual,Second Owner,Individual,21.4,1956,138.2,304,6,20.99,10.25
Honda City VX 2016,Honda,City,VX,2016,8,99651,Petrol,Automatic,Fourth & Above Owner,Dealer,19.1,1498,112.4,263,5,14.49,5.02
Hyundai Creta S 2013,Hyundai,Creta,S,2013,11,135167,Petrol,Manual,Second Owner,Dealer,19.2,1497,90.1,181,5,12.5,4.1
Tata Nexon Creative 2014,Tata,Nexon,Creative,2014,10,111897,Diesel,Automatic,First Owner,Dealer,21.5,1497,107.8,223,5,15.4,7.29
Maruti Swift LXI 2016,Maruti,Swift,LXI,2016,8,69793,Petrol,Manual,Fourth & Above Owner,Individual,17.3,1197,94.8,212,5,5.99,2.04
Hyundai Santro Sportz 2015,Hyundai,Santro,Sportz,2015,9,98764,Petrol,Manual,First Owner,Dealer,16.7,1086,85.0,211,5,5.47,2.47
Maruti Dzire ZXI 2019,Maruti,Dzire,ZXI,2019,5,50424,Petrol,Automatic,Third Owner,Individual,20.6,1197,75.4,189,5,8.99,4.46
Maruti Dzire VXI 2021,Maruti,Dzire,VXI,2021,3,31883,Petrol,Manual,Third Owner,Individual,17.9,1197,80.6,150,5,7.24,4.17
Maruti Dzire VXI 2021,Maruti,Dzire,VXI,2021,3,22733,Petrol,Manual,Third Owner,Individual,14.9,1197,93.7,241,5,7.24,4.4
Maruti WagonR VXI 2015,Maruti,WagonR,VXI,2015,9,93653,Petrol,Manual,First Owner,Individual,20.1,998,70.3,132,5,5.99,2.55
Maruti Dzire ZXI 2020,Maruti,Dzire,ZXI,2020,4,39753,Petrol,Automatic,First Owner,Trustmark Dealer,17.0,1197,76.9,188,5,8.99,6.35
Toyota Fortuner 4x2 MT 2016,Toyota,Fortuner,4x2 MT,2016,8,112621,Diesel,Manual,First Owner,Individual,24.3,2755,168.7,348,7,33.43,16.59
Tata Nexon Pure 2014,Tata,Nexon,Pure,2014,10,92845,Petrol,Manual,First Owner,Individual,19.2,1199,88.3,200,5,9.5,3.92
Kia Seltos GTX+ 2013,Kia,Seltos,GTX+,2013,11,120890,Diesel,Automatic,First Owner,Dealer,26.8,1493,102.9,211,5,19.65,8.63
Toyota Glanza V 2023,Toyota,Glanza,V,2023,1,11150,Petrol,Automatic,First Owner,Individual,15.3,1197,72.3,147,5,8.99,7.87
Mahindra XUV700 AX5 2018,Mahindra,XUV700,AX5,2018,6,86147,Diesel,Automatic,Third Owner,Dealer,18.5,2184,141.7,267,7,20.99,10.22
MG Hector Smart 2016,MG,Hector,Smart,2016,8,44470,Petrol,Manual,Second Owner,Individual,21.8,1451,115.6,272,5,14.72,6.3
Hyundai Creta S 2017,Hyundai,Creta,S,2017,7,88939,Petrol,Manual,First Owner,Trustmark Dealer,20.6,1497,117.9,280,5,12.5,6.54
Honda Amaze V 2022,Honda,Amaze,V,2022,2,26958,Petrol,Automatic,Second Owner,Individual,18.8,1199,77.4,199,5,9.49,6.73
Volkswagen Virtus Topline 2013,Volkswagen,Virtus,Topline,2013,11,53197,Petrol,Automatic,First Owner,Individual,20.9,999,75.2,195,5,16.49,7.37
Mahindra XUV700 MX 2019,Mahindra,XUV700,MX,2019,5,50619,Petrol,Manual,First Owner,Individual,21.6,1997,140.1,277,7,13.99,8.61
Hyundai Creta E 2014,Hyundai,Creta,E,2014,10,88694,Petrol,Manual,Second Owner,Individual,20.2,1497,101.8,252,5,10.87,3.94
Maruti WagonR VXI 2023,Maruti,WagonR,VXI,2023,1,7910,Petrol,Manual,First Owner,Trustmark Dealer,19.0,998,72.5,142,5,5.99,5.18
Renault Kwid RXT 2018,Renault,Kwid,RXT,2018,6,92706,Petrol,Automatic,Second Owner,Individual,19.8,999,68.6,148,5,5.9,2.84
Hyundai Venue SX 2019,Hyundai,Venue,SX,2019,5,79279,Petrol,Automatic,Second Owner,Individual,20.7,1197,88.8,164,5,9.99,5.0
Maruti WagonR ZXI 2017,Maruti,WagonR,ZXI,2017,7,55704,Petrol,Automatic,Second Owner,Individual,18.3,998,66.4,150,5,6.49,2.99
Maruti Baleno Zeta 2020,Maruti,Baleno,Zeta,2020,4,47778,Petrol,Manual,First Owner,Trustmark Dealer,18.1,1197,95.0,216,5,8.45,5.67
Maruti Celerio LXI 2017,Maruti,Celerio,LXI,2017,7,51991,Petrol,Manual,First Owner,Individual,18.3,998,63.8,160,5,5.25,2.65
Toyota Fortuner 4x4 AT 2023,Toyota,Fortuner,4x4 AT,2023,1,9678,Diesel,Automatic,First Owner,Trustmark Dealer,18.5,2755,170.6,417,7,40.57,36.4
Mahindra XUV300 W8 2020,Mahindra,XUV300,W8,2020,4,67119,Diesel,Manual,First Owner,Individual,24.7,1497,83.7,167,5,12.99,8.2
Jeep Compass Limited 2019,Jeep,Compass,Limited,2019,5,95725,Diesel,Automatic,First Owner,Individual,22.8,1956,119.4,240,5,28.59,16.56
Volkswagen Taigun Comfortline 2019,Volkswagen,Taigun,Comfortline,2019,5,40425,Petrol,Manual,First Owner,Individual,21.1,999,69.8,163,5,11.55,7.16
Mercedes E-Class Progressive 2014,Mercedes,E-Class,Progressive,2014,10,110211,Petrol,Automatic,Second Owner,Dealer,17.5,1991,115.9,234,5,77.5,36.73
Hyundai i20 Sportz 2014,Hyundai,i20,Sportz,2014,10,106443,Petrol,Manual,First Owner,Trustmark Dealer,14.1,1197,72.6,151,5,8.64,3.6
MG Hector Plus Sharp 2023,MG,Hector Plus,Sharp,2023,1,13250,Diesel,Manual,First Owner,Individual,26.8,1956,131.6,312,6,20.99,18.08
Honda Amaze V 2023,Honda,Amaze,V,2023,1,7913,Petrol,Automatic,First Owner,Individual,16.6,1199,78.7,173,5,9.49,7.94
Tata Harrier Smart 2013,Tata,Harrier,Smart,2013,11,80677,Diesel,Manual,Second Owner,Individual,22.3,1956,133.6,246,5,15.49,5.99
Maruti Swift ZXI+ 2017,Maruti,Swift,ZXI+,2017,7,93456,Petrol,Automatic,First Owner,Dealer,20.1,1197,83.7,182,5,8.79,4.49
MG Hector Plus Sharp 2013,MG,Hector Plus,Sharp,2013,11,134704,Diesel,Manual,First Owner,Trustmark Dealer,26.9,1956,117.6,247,6,20.99,9.38
Kia Carnival Premium 2018,Kia,Carnival,Premium,2018,6,75371,Diesel,Automatic,Second Owner,Dealer,19.7,2199,133.9,308,8,30.89,17.57
Toyota Fortuner 4x2 MT 2022,Toyota,Fortuner,4x2 MT,2022,2,27189,Diesel,Manual,First Owner,Dealer,22.2,2755,172.3,413,7,33.43,27.28
Hyundai i20 Magna 2013,Hyundai,i20,Magna,2013,11,116068,Petrol,Manual,Second Owner,Trustmark Dealer,19.0,1197,69.3,176,5,7.04,2.45
Volkswagen Polo Trendline 2022,Volkswagen,Polo,Trendline,2022,2,22861,Petrol,Manual,Second Owner,Individual,21.2,999,74.6,143,5,7.54,5.24
Renault Duster RXE 2023,Renault,Duster,RXE,2023,1,15578,Petrol,Manual,First Owner,Individual,20.6,1498,86.5,214,5,9.99,8.21
Mahindra Scorpio-N Z2 2020,Mahindra,Scorpio-N,Z2,2020,4,38620,Petrol,Manual,Second Owner,Dealer,19.1,1997,144.5,322,7,13.85,8.45
Honda City VX 2016,Honda,City,VX,2016,8,55417,Petrol,Automatic,First Owner,Trustmark Dealer,15.2,1498,104.3,229,5,14.49,7.19
Jeep Compass Limited 2020,Jeep,Compass,Limited,2020,4,63002,Diesel,Automatic,Third Owner,Individual,19.4,1956,135.8,310,5,28.59,15.44
Hyundai Venue S 2020,Hyundai,Venue,S,2020,4,39766,Petrol,Manual,First Owner,Individual,20.7,1197,75.8,155,5,7.53,4.9
Maruti Baleno Delta 2017,Maruti,Baleno,Delta,2017,7,100069,Petrol,Manual,First Owner,Dealer,18.8,1197,69.3,147,5,7.45,3.85
Tata Tiago XM 2014,Tata,Tiago,XM,2014,10,65536,Petrol,Manual,Third Owner,Individual,14.3,1199,93.3,186,5,6.2,2.05
Mahindra XUV300 W8 2018,Mahindra,XUV300,W8,2018,6,57037,Diesel,Manual,First Owner,Individual,22.6,1497,118.8,257,5,12.99,7.3
Toyota Urban Cruiser Mid 2020,Toyota,Urban Cruiser,Mid,2020,4,69852,Petrol,Manual,First Owner,Dealer,15.7,1462,113.2,222,5,10.33,6.53
Tata Nexon Pure 2020,Tata,Nexon,Pure,2020,4,28894,Petrol,Manual,Second Owner,Individual,18.3,1199,80.4,176,5,9.5,5.75
Maruti WagonR LXI 2013,Maruti,WagonR,LXI,2013,11,104944,Petrol,Manual,Second Owner,Individual,21.2,998,68.0,165,5,5.47,1.87
Hyundai Creta E 2014,Hyundai,Creta,E,2014,10,105628,Petrol,Manual,Second Owner,Individual,15.6,1497,101.3,230,5,10.87,3.89
Renault Duster RXE 2015,Renault,Duster,RXE,2015,9,104178,Petrol,Manual,Second Owner,Dealer,21.9,1498,105.0,256,5,9.99,4.14
Tata Tiago XE 2018,Tata,Tiago,XE,2018,6,54266,Petrol,Manual,Third Owner,Individual,14.7,1199,72.2,131,5,5.4,2.43
Hyundai Tucson Platinum 2014,Hyundai,Tucson,Platinum,2014,10,77329,Diesel,Automatic,First Owner,Dealer,20.4,1999,141.1,300,5,29.99,14.52
Renault Kwid RXT 2017,Renault,Kwid,RXT,2017,7,80499,Petrol,Automatic,Second Owner,Individual,20.9,999,67.1,168,5,5.9,2.76
Skoda Kushaq Active 2014,Skoda,Kushaq,Active,2014,10,165225,Petrol,Manual,First Owner,Individual,20.7,999,79.5,176,5,10.89,3.77
Toyota Innova Crysta GX 2017,Toyota,Innova Crysta,GX,2017,7,78470,Diesel,Manual,First Owner,Dealer,23.9,2393,181.3,356,7,19.77,11.29
Toyota Glanza V 2023,Toyota,Glanza,V,2023,1,18192,Petrol,Automatic,First Owner,Individual,21.3,1197,78.4,165,5,8.99,7.51
Kia Carnival Premium 2014,Kia,Carnival,Premium,2014,10,121489,Diesel,Automatic,First Owner,Dealer,20.2,2199,142.3,289,8,30.89,14.36
Kia Sonet HTK+ 2019,Kia,Sonet,HTK+,2019,5,62028,Diesel,Manual,First Owner,Trustmark Dealer,19.2,1493,100.2,201,5,11.49,7.17
Skoda Octavia Style 2015,Skoda,Octavia,Style,2015,9,104775,Petrol,Automatic,Fourth & Above Owner,Individual,19.0,1498,100.2,207,5,26.29,9.18
Maruti Alto K10 STD 2021,Maruti,Alto K10,STD,2021,3,41962,Petrol,Manual,First Owner,Individual,14.6,796,43.8,112,5,3.99,2.72
Maruti Dzire VXI 2015,Maruti,Dzire,VXI,2015,9,119989,Petrol,Manual,Fourth & Above Owner,Individual,19.5,1197,81.4,152,5,7.24,2.21
Skoda Octavia Style 2020,Skoda,Octavia,Style,2020,4,58223,Petrol,Automatic,Second Owner,Dealer,21.8,1498,116.2,269,5,26.29,16.68
BMW X1 sDrive20i 2022,BMW,X1,sDrive20i,2022,2,26360,Petrol,Automatic,First Owner,Dealer,16.4,1998,156.1,402,5,45.9,38.94
Skoda Kushaq Style 2016,Skoda,Kushaq,Style,2016,8,80464,Petrol,Automatic,Third Owner,Individual,18.8,1498,91.0,172,5,17.99,7.63
Tata Tiago XE 2023,Tata,Tiago,XE,2023,1,12350,Petrol,Manual,First Owner,Individual,18.3,1199,89.6,184,5,5.4,4.61
Maruti Baleno Zeta 2022,Maruti,Baleno,Zeta,2022,2,22901,Petrol,Manual,First Owner,Trustmark Dealer,14.0,1197,71.4,150,5,8.45,7.03
Tata Tiago XT 2016,Tata,Tiago,XT,2016,8,86404,Petrol,Manual,Second Owner,Individual,17.2,1199,68.7,142,5,7.2,3.08
Honda Amaze S 2013,Honda,Amaze,S,2013,11,111130,Petrol,Manual,First Owner,Individual,15.9,1199,67.2,121,5,7.39,2.81
Volkswagen Polo Highline 2013,Volkswagen,Polo,Highline,2013,11,94229,Petrol,Manual,Fourth & Above Owner,Individual,16.1,999,69.6,179,5,9.59,2.61
Toyota Innova Crysta VX 2023,Toyota,Innova Crysta,VX,2023,1,10865,Diesel,Automatic,First Owner,Trustmark Dealer,20.1,2393,181.3,343,7,24.64,21.19
Mahindra Scorpio-N Z8 2022,Mahindra,Scorpio-N,Z8,2022,2,25359,Diesel,Automatic,Second Owner,Individual,22.7,2184,152.7,338,7,22.5,15.73
Hyundai Creta SX(O) 2014,Hyundai,Creta,SX(O),2014,10,114235,Diesel,Automatic,Third Owner,Individual,23.6,1493,110.0,201,5,18.99,7.32
Renault Duster RXE 2014,Renault,Duster,RXE,2014,10,52101,Petrol,Manual,First Owner,Individual,14.4,1498,114.3,208,5,9.99,3.97
Hyundai i20 Magna 2017,Hyundai,i20,Magna,2017,7,63094,Petrol,Manual,First Owner,Individual,19.6,1197,67.3,149,5,7.04,3.73
Tata Harrier Adventure 2017,Tata,Harrier,Adventure,2017,7,79818,Diesel,Manual,Third Owner,Individual,24.0,1956,134.2,334,5,17.99,8.44
Toyota Innova Crysta VX 2015,Toyota,Innova Crysta,VX,2015,9,91581,Diesel,Automatic,First Owner,Individual,21.0,2393,145.9,371,7,24.64,11.94
Hyundai i20 Asta 2018,Hyundai,i20,Asta,2018,6,68605,Petrol,Automatic,Fourth & Above Owner,Individual,21.0,1197,66.0,162,5,9.64,3.8
Tata Tiago XT 2014,Tata,Tiago,XT,2014,10,121257,Petrol,Manual,Second Owner,Individual,16.3,1199,84.4,218,5,7.2,2.55
MG ZS EV Excite 2014,MG,ZS EV,Excite,2014,10,130463,Electric,Automatic,Second Owner,Individual,387.0,0,117.9,344,5,22.58,8.87
Kia Sonet GTX+ 2017,Kia,Sonet,GTX+,2017,7,69575,Diesel,Automatic,First Owner,Dealer,18.6,1493,103.8,215,5,15.99,9.51
Skoda Kushaq Style 2014,Skoda,Kushaq,Style,2014,10,159030,Petrol,Automatic,Second Owner,Individual,14.5,1498,113.2,237,5,17.99,6.74
Volkswagen Taigun Topline 2022,Volkswagen,Taigun,Topline,2022,2,25295,Petrol,Automatic,First Owner,Trustmark Dealer,18.2,999,75.6,154,5,15.99,13.37
Tata Harrier Smart 2016,Tata,Harrier,Smart,2016,8,64138,Diesel,Manual,Fourth & Above Owner,Individual,21.9,1956,153.7,328,5,15.49,5.97
Maruti WagonR ZXI 2015,Maruti,WagonR,ZXI,2015,9,118789,Petrol,Automatic,First Owner,Individual,14.2,998,71.1,148,5,6.49,2.75
Skoda Slavia Ambition 2023,Skoda,Slavia,Ambition,2023,1,12770,Petrol,Automatic,First Owner,Trustmark Dealer,20.1,999,70.6,134,5,14.49,12.39
Kia Sonet GTX+ 2022,Kia,Sonet,GTX+,2022,2,29228,Diesel,Automatic,First Owner,Individual,19.1,1493,107.7,230,5,15.99,12.25
Kia Sonet GTX+ 2018,Kia,Sonet,GTX+,2018,6,43258,Diesel,Automatic,Second Owner,Individual,22.1,1493,82.5,153,5,15.99,8.68
Jeep Compass Sport 2018,Jeep,Compass,Sport,2018,6,79165,Petrol,Manual,Third Owner,Individual,14.3,1368,91.7,172,5,19.95,9.46
Tata Nexon Creative 2018,Tata,Nexon,Creative,2018,6,90305,Diesel,Automatic,Second Owner,Individual,20.9,1497,101.7,190,5,15.4,7.84
Hyundai Creta S 2016,Hyundai,Creta,S,2016,8,58077,Petrol,Manual,Fourth & Above Owner,Individual,19.5,1497,113.1,207,5,12.5,4.31
BMW 5 Series 520d Sport 2023,BMW,5 Series,520d Sport,2023,1,18020,Diesel,Automatic,First Owner,Individual,26.4,1995,157.0,361,5,65.9,55.97
Jeep Compass Limited 2023,Jeep,Compass,Limited,2023,1,15878,Diesel,Automatic,First Owner,Dealer,25.1,1956,131.1,240,5,28.59,24.46
Maruti Baleno Sigma 2023,Maruti,Baleno,Sigma,2023,1,15760,Petrol,Manual,First Owner,Dealer,18.9,1197,75.7,164,5,6.61,5.86
MG Hector Sharp 2019,MG,Hector,Sharp,2019,5,47798,Petrol,Automatic,First Owner,Individual,19.2,1451,91.9,205,5,18.99,12.33
Hyundai i20 Asta (O) 2022,Hyundai,i20,Asta (O),2022,2,14203,Diesel,Manual,First Owner,Individual,25.6,1493,88.6,227,5,10.95,8.52
Hyundai Santro Sportz 2016,Hyundai,Santro,Sportz,2016,8,117203,Petrol,Manual,Second Owner,Individual,18.3,1086,73.7,167,5,5.47,2.1
Renault Kwid RXT 2016,Renault,Kwid,RXT,2016,8,54195,Petrol,Automatic,Second Owner,Trustmark Dealer,15.7,999,70.5,162,5,5.9,2.66
Renault Triber RXE 2022,Renault,Triber,RXE,2022,2,24991,Petrol,Manual,First Owner,Individual,21.8,999,59.5,147,7,5.99,4.65
Kia Seltos HTX 2018,Kia,Seltos,HTX,2018,6,65773,Petrol,Automatic,Second Owner,Individual,18.7,1497,88.5,186,5,14.99,7.77
Honda Amaze V 2015,Honda,Amaze,V,2015,9,72191,Petrol,Automatic,Second Owner,Individual,21.8,1199,79.5,158,5,9.49,3.63
Maruti Baleno Sigma 2022,Maruti,Baleno,Sigma,2022,2,30575,Petrol,Manual,First Owner,Dealer,18.7,1197,94.2,188,5,6.61,5.22
Hyundai i20 Asta (O) 2021,Hyundai,i20,Asta (O),2021,3,23135,Diesel,Manual,Second Owner,Dealer,24.3,1493,98.8,246,5,10.95,7.4
Kia Seltos HTE 2016,Kia,Seltos,HTE,2016,8,86493,Petrol,Manual,Second Owner,Trustmark Dealer,14.3,1497,86.9,187,5,10.9,4.96
Honda City VX 2013,Honda,City,VX,2013,11,104827,Petrol,Automatic,First Owner,Trustmark Dealer,21.7,1498,82.6,211,5,14.49,5.61
Mahindra Scorpio-N Z8 2019,Mahindra,Scorpio-N,Z8,2019,5,61682,Diesel,Automatic,First Owner,Dealer,19.3,2184,121.8,249,7,22.5,15.13
Audi A4 Premium 2019,Audi,A4,Premium,2019,5,49215,Petrol,Automatic,Second Owner,Individual,15.9,1984,156.9,314,5,42.34,26.08
Toyota Fortuner 4x4 AT 2023,Toyota,Fortuner,4x4 AT,2023,1,14929,Diesel,Automatic,First Owner,Trustmark Dealer,23.1,2755,153.6,390,7,40.57,35.92
Hyundai Creta S 2013,Hyundai,Creta,S,2013,11,136279,Petrol,Manual,First Owner,Dealer,14.9,1497,107.0,278,5,12.5,4.49
Volkswagen Polo Highline 2013,Volkswagen,Polo,Highline,2013,11,148136,Petrol,Manual,Second Owner,Dealer,19.9,999,76.9,163,5,9.59,3.06
Renault Duster RXZ 2015,Renault,Duster,RXZ,2015,9,113843,Diesel,Manual,Second Owner,Individual,25.4,1461,84.7,189,5,13.49,4.95
Maruti Baleno Delta 2013,Maruti,Baleno,Delta,2013,11,82566,Petrol,Manual,Second Owner,Individual,17.6,1197,72.9,152,5,7.45,2.44
Toyota Fortuner 4x4 AT 2023,Toyota,Fortuner,4x4 AT,2023,1,17124,Diesel,Automatic,First Owner,Dealer,21.4,2755,211.0,467,7,40.57,35.27
MG Hector Sharp 2022,MG,Hector,Sharp,2022,2,14188,Petrol,Automatic,First Owner,Dealer,18.4,1451,106.9,253,5,18.99,15.72
Maruti Celerio LXI 2019,Maruti,Celerio,LXI,2019,5,66138,Petrol,Manual,First Owner,Trustmark Dealer,19.2,998,64.4,126,5,5.25,3.23
Maruti Ertiga ZXI 2014,Maruti,Ertiga,ZXI,2014,10,117539,Petrol,Manual,Second Owner,Dealer,21.4,1462,99.9,226,7,9.69,3.48
Hyundai Venue SX 2014,Hyundai,Venue,SX,2014,10,117772,Petrol,Automatic,Third Owner,Individual,15.0,1197,91.6,223,5,9.99,3.16
Kia Seltos GTX+ 2020,Kia,Seltos,GTX+,2020,4,39388,Diesel,Automatic,Third Owner,Individual,18.8,1493,112.6,236,5,19.65,11.21
Tata Harrier Smart 2023,Tata,Harrier,Smart,2023,1,18191,Diesel,Manual,First Owner,Dealer,19.6,1956,125.2,316,5,15.49,13.66
Tata Harrier Accomplished 2022,Tata,Harrier,Accomplished,2022,2,15597,Diesel,Automatic,Second Owner,Trustmark Dealer,24.0,1956,147.2,355,5,22.49,16.38
Mahindra XUV700 AX7 L 2014,Mahindra,XUV700,AX7 L,2014,10,97649,Diesel,Automatic,Third Owner,Individual,22.8,2184,129.9,266,7,26.99,10.11
Honda City e:HEV 2023,Honda,City,e:HEV,2023,1,6866,Hybrid,Automatic,First Owner,Dealer,25.9,1498,87.5,206,5,19.5,17.14
Tata Tiago XT 2021,Tata,Tiago,XT,2021,3,40524,Petrol,Manual,First Owner,Individual,14.7,1199,92.7,181,5,7.2,5.03
Honda City ZX 2021,Honda,City,ZX,2021,3,29491,Petrol,Automatic,Third Owner,Individual,14.6,1498,106.4,214,5,15.49,9.49
Honda Amaze VX 2018,Honda,Amaze,VX,2018,6,59226,Diesel,Manual,First Owner,Individual,21.4,1498,96.0,249,5,10.49,5.86
Maruti Swift VXI 2018,Maruti,Swift,VXI,2018,6,74526,Petrol,Manual,First Owner,Dealer,15.6,1197,81.9,153,5,6.99,3.97
Maruti Baleno Zeta 2013,Maruti,Baleno,Zeta,2013,11,55773,Petrol,Manual,First Owner,Trustmark Dealer,14.2,1197,87.9,212,5,8.45,3.19
Hyundai Venue SX 2017,Hyundai,Venue,SX,2017,7,72067,Petrol,Automatic,Second Owner,Trustmark Dealer,18.9,1197,81.0,156,5,9.99,4.69
Hyundai Tucson Platinum 2013,Hyundai,Tucson,Platinum,2013,11,99895,Diesel,Automatic,First Owner,Individual,20.2,1999,135.4,333,5,29.99,12.84
Hyundai i20 Sportz 2016,Hyundai,i20,Sportz,2016,8,98110,Petrol,Manual,Second Owner,Individual,18.0,1197,77.7,173,5,8.64,3.62
Hyundai Venue SX 2020,Hyundai,Venue,SX,2020,4,62262,Petrol,Automatic,First Owner,Individual,20.5,1197,75.5,137,5,9.99,6.18
